0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:27 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:29 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:30 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:48 +0900] "GET /ex03/ex01.html HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:49 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:50 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:50 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:52 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:55 +0900] "GET /ex03/ex01.html HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:55 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:38:55 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:39:11 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:39:12 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:39:13 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:39:14 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:16:39:14 +0900] "GET /ex03/ex01.html HTTP/1.1" 304 -
